Verilator Statistics Report

Information:
  Verilator 4.204 2021-06-12 rev v4.204
  Arguments: --cc --exe --top-module SimTop +define+VERILATOR=1 +define+PRINTF_COND=1 +define+RANDOMIZE_REG_INIT +define+RANDOMIZE_MEM_INIT +define+RANDOMIZE_GARBAGE_ASSIGN +define+RANDOMIZE_DELAY=0 -Wno-STMTDLY -Wno-WIDTH -I/home/yuyake/oscpu/projects/backup/build --x-assign unique -O3 -CFLAGS -std=c++11 -static -Wall -I/home/yuyake/oscpu/libraries/difftest/src/test/csrc -I/home/yuyake/oscpu/libraries/difftest/src/test/csrc/common -I/home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest -DVERILATOR -Wno-maybe-uninitialized  -DNUM_CORES=1 -LDFLAGS -lpthread -lSDL2 -ldl -lz --trace --assert --stats-vars --output-split 30000 --output-split-cfuncs 30000 -o /home/yuyake/oscpu/projects/backup/build/emu -Mdir /home/yuyake/oscpu/projects/backup/build/emu-compile /home/yuyake/oscpu/projects/backup/build/SimTop.v ./src/test/vsrc/common/SimJTAG.v ./src/test/vsrc/common/ram.v ./src/test/vsrc/common/assert.v ./src/test/vsrc/common/difftest.v ./src/test/vsrc/common/EICG_wrapper.v ./src/test/vsrc/common/ref.v /home/yuyake/oscpu/libraries/difftest/src/test/csrc/verilator/emu.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/verilator/main.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/verilator/snapshot.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/keyboard.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/ram.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/common.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/sdcard.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/uart.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/axi4.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/flash.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/vga.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/SimJTAG.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/device.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/compress.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/remote_bitbang.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/goldenmem.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/difftest.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/ref.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/interface.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/vcs/main.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/keyboard.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/ram.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/common.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/sdcard.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/uart.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/axi4.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/flash.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/vga.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/SimJTAG.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/device.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/compress.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/remote_bitbang.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/goldenmem.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/difftest.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/ref.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/interface.cpp
  Vars, width     8 SimTop.id_bj_info                                             1          1          1
  Vars, width     8 __Vdly__SimTop.cmt_wdest                                      1
  Vars, width     8 __Vdly__SimTop.ex_bj_info                                     1
  Vars, width     8 atomicFuop                                                    2          2          2
  Vars, width     8 atomicMask                                                    2          2          2
  Vars, width     8 cmd                                                           2          2          2
  Vars, width     8 code                                                          2          2          2          1
  Vars, width     8 coreid                                                       22         22         22          5
  Vars, width     8 fuType                                                        2          2          2
  Vars, width     8 index                                                         6          6          6          1
  Vars, width     8 io_uart_in_ch                                                 1          1          1
  Vars, width     8 io_uart_out_ch                                                1          1          1
  Vars, width     8 level                                                         2          2          2
  Vars, width     8 mask                                                          2          2          2
  Vars, width     8 opType                                                        2          2          2
  Vars, width     8 priviledgeMode                                                2          2          2          1
  Vars, width     8 pte_helper__Vfuncrtn                                          1          1          1
  Vars, width     8 sbufferData_0                                                 2          2          2
  Vars, width     8 sbufferData_1                                                 2          2          2
  Vars, width     8 sbufferData_10                                                2          2          2
  Vars, width     8 sbufferData_11                                                2          2          2
  Vars, width     8 sbufferData_12                                                2          2          2
  Vars, width     8 sbufferData_13                                                2          2          2
  Vars, width     8 sbufferData_14                                                2          2          2
  Vars, width     8 sbufferData_15                                                2          2          2
  Vars, width     8 sbufferData_16                                                2          2          2
  Vars, width     8 sbufferData_17                                                2          2          2
  Vars, width     8 sbufferData_18                                                2          2          2
  Vars, width     8 sbufferData_19                                                2          2          2
  Vars, width     8 sbufferData_2                                                 2          2          2
  Vars, width     8 sbufferData_20                                                2          2          2
  Vars, width     8 sbufferData_21                                                2          2          2
  Vars, width     8 sbufferData_22                                                2          2          2
  Vars, width     8 sbufferData_23                                                2          2          2
  Vars, width     8 sbufferData_24                                                2          2          2
  Vars, width     8 sbufferData_25                                                2          2          2
  Vars, width     8 sbufferData_26                                                2          2          2
  Vars, width     8 sbufferData_27                                                2          2          2
  Vars, width     8 sbufferData_28                                                2          2          2
  Vars, width     8 sbufferData_29                                                2          2          2
  Vars, width     8 sbufferData_3                                                 2          2          2
  Vars, width     8 sbufferData_30                                                2          2          2
  Vars, width     8 sbufferData_31                                                2          2          2
  Vars, width     8 sbufferData_32                                                2          2          2
  Vars, width     8 sbufferData_33                                                2          2          2
  Vars, width     8 sbufferData_34                                                2          2          2
  Vars, width     8 sbufferData_35                                                2          2          2
  Vars, width     8 sbufferData_36                                                2          2          2
  Vars, width     8 sbufferData_37                                                2          2          2
  Vars, width     8 sbufferData_38                                                2          2          2
  Vars, width     8 sbufferData_39                                                2          2          2
  Vars, width     8 sbufferData_4                                                 2          2          2
  Vars, width     8 sbufferData_40                                                2          2          2
  Vars, width     8 sbufferData_41                                                2          2          2
  Vars, width     8 sbufferData_42                                                2          2          2
  Vars, width     8 sbufferData_43                                                2          2          2
  Vars, width     8 sbufferData_44                                                2          2          2
  Vars, width     8 sbufferData_45                                                2          2          2
  Vars, width     8 sbufferData_46                                                2          2          2
  Vars, width     8 sbufferData_47                                                2          2          2
  Vars, width     8 sbufferData_48                                                2          2          2
  Vars, width     8 sbufferData_49                                                2          2          2
  Vars, width     8 sbufferData_5                                                 2          2          2
  Vars, width     8 sbufferData_50                                                2          2          2
  Vars, width     8 sbufferData_51                                                2          2          2
  Vars, width     8 sbufferData_52                                                2          2          2
  Vars, width     8 sbufferData_53                                                2          2          2
  Vars, width     8 sbufferData_54                                                2          2          2
  Vars, width     8 sbufferData_55                                                2          2          2
  Vars, width     8 sbufferData_56                                                2          2          2
  Vars, width     8 sbufferData_57                                                2          2          2
  Vars, width     8 sbufferData_58                                                2          2          2
  Vars, width     8 sbufferData_59                                                2          2          2
  Vars, width     8 sbufferData_6                                                 2          2          2
  Vars, width     8 sbufferData_60                                                2          2          2
  Vars, width     8 sbufferData_61                                                2          2          2
  Vars, width     8 sbufferData_62                                                2          2          2
  Vars, width     8 sbufferData_63                                                2          2          2
  Vars, width     8 sbufferData_7                                                 2          2          2
  Vars, width     8 sbufferData_8                                                 2          2          2
  Vars, width     8 sbufferData_9                                                 2          2          2
  Vars, width     8 storeMask                                                     2          2          2
  Vars, width     8 wdest                                                         2          2          2          1
  Vars, width    12 SimTop.Id_stage.immS                                          1          1          1
  Vars, width    12 SimTop.csr_wr_addr                                            1          1          1
  Vars, width    12 SimTop.ex_alu_info                                            1          1          1
  Vars, width    12 SimTop.ex_csr_wr_addr                                         1          1          1
  Vars, width    12 SimTop.id_alu_info                                            1          1          1
  Vars, width    12 SimTop.mem_csr_wr_addr                                        1          1          1
  Vars, width    12 SimTop.wb_csr_wr_addr                                         1          1          1
  Vars, width    12 __Vdly__SimTop.ex_alu_info                                    1
  Vars, width    12 __Vdly__SimTop.ex_csr_wr_addr                                 1
  Vars, width    12 __Vdly__SimTop.wb_csr_wr_addr                                 1
  Vars, width    13 SimTop.Id_stage.immB                                          1          1          1
  Vars, width    16 SimTop.Excp_handler.excp_info                                 1          1          1
  Vars, width    16 SimTop.id_excp                                                1          1          1
  Vars, width    16 SimTop.if_excp                                                1          1          1
  Vars, width    16 SimTop.mem_excp                                               1          1          1
  Vars, width    21 SimTop.Id_stage.immJ                                          1          1          1
  Vars, width    32 SimTop.cmt_inst                                               1          1          1
  Vars, width    32 SimTop.ex_inst                                                1          1          1
  Vars, width    32 SimTop.id_inst                                                1          1          1
  Vars, width    32 SimTop.mem_inst                                               1          1          1
  Vars, width    32 SimTop.wb_inst                                                1          1          1
  Vars, width    32 __Vdly__SimTop.cmt_inst                                       1
  Vars, width    32 __Vdly__SimTop.ex_inst                                        1
  Vars, width    32 __Vdly__SimTop.mem_inst                                       1
  Vars, width    32 __Vdly__SimTop.wb_inst                                        1
  Vars, width    32 cause                                                         2          2          2
  Vars, width    32 instr                                                         2          2          2          1
  Vars, width    32 intrNo                                                        2          2          2
  Vars, width    32 jtag_tick__Vfuncrtn                                           1          1          1
  Vars, width    64 SimTop.CSRfile.csr_mcause                                     1          1          1
  Vars, width    64 SimTop.CSRfile.csr_mcycle                                     1          1          1
  Vars, width    64 SimTop.CSRfile.csr_mepc                                       1          1          1
  Vars, width    64 SimTop.CSRfile.csr_mie                                        1          1          1
  Vars, width    64 SimTop.CSRfile.csr_mip                                        1          1          1
  Vars, width    64 SimTop.CSRfile.csr_mscratch                                   1          1          1
  Vars, width    64 SimTop.CSRfile.csr_mstatus                                    1          1          1
  Vars, width    64 SimTop.CSRfile.csr_mtval                                      1          1          1
  Vars, width    64 SimTop.CSRfile.csr_mtvec                                      1          1          1
  Vars, width    64 SimTop.Ex_stage.Exe_stage_alu.eff_mask                        1          1          1
  Vars, width    64 SimTop.Ex_stage.Exe_stage_alu.shifter_in1                     1          1          1
  Vars, width    64 SimTop.Ex_stage.Exe_stage_alu.shifter_res                     1          1          1
  Vars, width    64 SimTop.Ex_stage.Exe_stage_alu.slt_res                         1          1          1
  Vars, width    64 SimTop.Ex_stage.Exe_stage_alu.srl_res                         1          1          1
  Vars, width    64 SimTop.Ex_stage.Exe_stage_alu.temp_output                     1          1          1
  Vars, width    64 SimTop.Ex_stage.Exe_stage_alu.xor_res                         1          1          1
  Vars, width    64 SimTop.Ex_stage.op1                                           1          1          1
  Vars, width    64 SimTop.Ex_stage.op2                                           1          1          1
  Vars, width    64 SimTop.Excp_handler.mstatus_excp_enter                        1          1          1
  Vars, width    64 SimTop.Excp_handler.mstatus_excp_exit                         1          1          1
  Vars, width    64 SimTop.Mem_stage.mem_part                                     1          1          1
  Vars, width    64 SimTop.RAM_1W2R.inst_2                                        1          1          1
  Vars, width    64 SimTop.Regfile.regs                                           1          1          1
  Vars, width    64 SimTop.__Vcellout__Regfile__regs_o                            1          1          1
  Vars, width    64 SimTop.cmt_pc                                                 1          1          1
  Vars, width    64 SimTop.cmt_wdata                                              1          1          1
  Vars, width    64 SimTop.cycleCnt                                               1          1          1
  Vars, width    64 SimTop.ex_csr_data                                            1          1          1
  Vars, width    64 SimTop.ex_jmp_imm                                             1          1          1
  Vars, width    64 SimTop.ex_now_op1                                             1          1          1
  Vars, width    64 SimTop.ex_now_op2                                             1          1          1
  Vars, width    64 SimTop.ex_pc                                                  1          1          1
  Vars, width    64 SimTop.ex_rs1_data                                            1          1          1
  Vars, width    64 SimTop.ex_rs2_data                                            1          1          1
  Vars, width    64 SimTop.id_csr_data                                            1          1          1
  Vars, width    64 SimTop.id_op1                                                 1          1          1
  Vars, width    64 SimTop.id_op2                                                 1          1          1
  Vars, width    64 SimTop.id_pc                                                  1          1          1
  Vars, width    64 SimTop.if_pc                                                  1          1          1
  Vars, width    64 SimTop.instrCnt                                               1          1          1
  Vars, width    64 SimTop.mem_csr_data                                           1          1          1
  Vars, width    64 SimTop.mem_ex_data                                            1          1          1
  Vars, width    64 SimTop.mem_pc                                                 1          1          1
  Vars, width    64 SimTop.mem_ram_data                                           1          1          1
  Vars, width    64 SimTop.mem_ram_wr_src                                         1          1          1
  Vars, width    64 SimTop.mtval_rd_data                                          1          1          1
  Vars, width    64 SimTop.r_data1                                                1          1          1
  Vars, width    64 SimTop.r_data2                                                1          1          1
  Vars, width    64 SimTop.ram_rd_data                                            1          1          1
  Vars, width    64 SimTop.rd_data                                                1          1          1
  Vars, width    64 SimTop.regs                                                   1          1          1
  Vars, width    64 SimTop.rs1_forward                                            1          1          1
  Vars, width    64 SimTop.rs2_forward                                            1          1          1
  Vars, width    64 SimTop.true_op1                                               1          1          1
  Vars, width    64 SimTop.true_op2                                               1          1          1
  Vars, width    64 SimTop.wb_csr_data                                            1          1          1
  Vars, width    64 SimTop.wb_ex_data                                             1          1          1
  Vars, width    64 SimTop.wb_pc                                                  1          1          1
  Vars, width    64 SimTop.wb_ram_data                                            1          1          1
  Vars, width    64 SimTop.wb_reg_wr_data                                         1          1          1
  Vars, width    64 __Vdly__SimTop.CSRfile.csr_mcause                             1
  Vars, width    64 __Vdly__SimTop.CSRfile.csr_mcycle                             1
  Vars, width    64 __Vdly__SimTop.CSRfile.csr_mepc                               1
  Vars, width    64 __Vdly__SimTop.CSRfile.csr_mie                                1
  Vars, width    64 __Vdly__SimTop.CSRfile.csr_mip                                1
  Vars, width    64 __Vdly__SimTop.CSRfile.csr_mscratch                           1
  Vars, width    64 __Vdly__SimTop.CSRfile.csr_mstatus                            1
  Vars, width    64 __Vdly__SimTop.CSRfile.csr_mtval                              1
  Vars, width    64 __Vdly__SimTop.CSRfile.csr_mtvec                              1
  Vars, width    64 __Vdly__SimTop.cmt_pc                                         1
  Vars, width    64 __Vdly__SimTop.cmt_wdata                                      1
  Vars, width    64 __Vdly__SimTop.cycleCnt                                       1
  Vars, width    64 __Vdly__SimTop.ex_csr_data                                    1
  Vars, width    64 __Vdly__SimTop.ex_jmp_imm                                     1
  Vars, width    64 __Vdly__SimTop.ex_now_op1                                     1
  Vars, width    64 __Vdly__SimTop.ex_now_op2                                     1
  Vars, width    64 __Vdly__SimTop.ex_pc                                          1
  Vars, width    64 __Vdly__SimTop.ex_rs1_data                                    1
  Vars, width    64 __Vdly__SimTop.ex_rs2_data                                    1
  Vars, width    64 __Vdly__SimTop.id_pc                                          1
  Vars, width    64 __Vdly__SimTop.instrCnt                                       1
  Vars, width    64 __Vdly__SimTop.mem_csr_data                                   1
  Vars, width    64 __Vdly__SimTop.mem_ex_data                                    1
  Vars, width    64 __Vdly__SimTop.mem_pc                                         1
  Vars, width    64 __Vdly__SimTop.mem_ram_wr_src                                 1
  Vars, width    64 __Vdly__SimTop.wb_csr_data                                    1
  Vars, width    64 __Vdly__SimTop.wb_ex_data                                     1
  Vars, width    64 __Vdly__SimTop.wb_pc                                          1
  Vars, width    64 __Vdly__SimTop.wb_ram_data                                    1
  Vars, width    64 __Vdlyvval__SimTop.Regfile.regs__v32                          1          1          1          1
  Vars, width    64 __Vfunc_ram_read_helper__0__Vfuncout                          1          1          1
  Vars, width    64 __Vfunc_ram_read_helper__1__Vfuncout                          1          1          1
  Vars, width    64 addr                                                          2          2          2
  Vars, width    64 amo_helper__Vfuncrtn                                          1          1          1
  Vars, width    64 atomicAddr                                                    2          2          2
  Vars, width    64 atomicData                                                    2          2          2
  Vars, width    64 atomicOut                                                     2          2          2
  Vars, width    64 cycleCnt                                                      2          2          2          1
  Vars, width    64 exceptionPC                                                   2          2          2
  Vars, width    64 fpr_0                                                         2          2          2          1
  Vars, width    64 fpr_1                                                         2          2          2          1
  Vars, width    64 fpr_10                                                        2          2          2          1
  Vars, width    64 fpr_11                                                        2          2          2          1
  Vars, width    64 fpr_12                                                        2          2          2          1
  Vars, width    64 fpr_13                                                        2          2          2          1
  Vars, width    64 fpr_14                                                        2          2          2          1
  Vars, width    64 fpr_15                                                        2          2          2          1
  Vars, width    64 fpr_16                                                        2          2          2          1
  Vars, width    64 fpr_17                                                        2          2          2          1
  Vars, width    64 fpr_18                                                        2          2          2          1
  Vars, width    64 fpr_19                                                        2          2          2          1
  Vars, width    64 fpr_2                                                         2          2          2          1
  Vars, width    64 fpr_20                                                        2          2          2          1
  Vars, width    64 fpr_21                                                        2          2          2          1
  Vars, width    64 fpr_22                                                        2          2          2          1
  Vars, width    64 fpr_23                                                        2          2          2          1
  Vars, width    64 fpr_24                                                        2          2          2          1
  Vars, width    64 fpr_25                                                        2          2          2          1
  Vars, width    64 fpr_26                                                        2          2          2          1
  Vars, width    64 fpr_27                                                        2          2          2          1
  Vars, width    64 fpr_28                                                        2          2          2          1
  Vars, width    64 fpr_29                                                        2          2          2          1
  Vars, width    64 fpr_3                                                         2          2          2          1
  Vars, width    64 fpr_30                                                        2          2          2          1
  Vars, width    64 fpr_31                                                        2          2          2          1
  Vars, width    64 fpr_4                                                         2          2          2          1
  Vars, width    64 fpr_5                                                         2          2          2          1
  Vars, width    64 fpr_6                                                         2          2          2          1
  Vars, width    64 fpr_7                                                         2          2          2          1
  Vars, width    64 fpr_8                                                         2          2          2          1
  Vars, width    64 fpr_9                                                         2          2          2          1
  Vars, width    64 gpr_0                                                         2          2          2          1
  Vars, width    64 gpr_1                                                         2          2          2          1
  Vars, width    64 gpr_10                                                        2          2          2          1
  Vars, width    64 gpr_11                                                        2          2          2          1
  Vars, width    64 gpr_12                                                        2          2          2          1
  Vars, width    64 gpr_13                                                        2          2          2          1
  Vars, width    64 gpr_14                                                        2          2          2          1
  Vars, width    64 gpr_15                                                        2          2          2          1
  Vars, width    64 gpr_16                                                        2          2          2          1
  Vars, width    64 gpr_17                                                        2          2          2          1
  Vars, width    64 gpr_18                                                        2          2          2          1
  Vars, width    64 gpr_19                                                        2          2          2          1
  Vars, width    64 gpr_2                                                         2          2          2          1
  Vars, width    64 gpr_20                                                        2          2          2          1
  Vars, width    64 gpr_21                                                        2          2          2          1
  Vars, width    64 gpr_22                                                        2          2          2          1
  Vars, width    64 gpr_23                                                        2          2          2          1
  Vars, width    64 gpr_24                                                        2          2          2          1
  Vars, width    64 gpr_25                                                        2          2          2          1
  Vars, width    64 gpr_26                                                        2          2          2          1
  Vars, width    64 gpr_27                                                        2          2          2          1
  Vars, width    64 gpr_28                                                        2          2          2          1
  Vars, width    64 gpr_29                                                        2          2          2          1
  Vars, width    64 gpr_3                                                         2          2          2          1
  Vars, width    64 gpr_30                                                        2          2          2          1
  Vars, width    64 gpr_31                                                        2          2          2          1
  Vars, width    64 gpr_4                                                         2          2          2          1
  Vars, width    64 gpr_5                                                         2          2          2          1
  Vars, width    64 gpr_6                                                         2          2          2          1
  Vars, width    64 gpr_7                                                         2          2          2          1
  Vars, width    64 gpr_8                                                         2          2          2          1
  Vars, width    64 gpr_9                                                         2          2          2          1
  Vars, width    64 instrCnt                                                      2          2          2          1
  Vars, width    64 io_logCtrl_log_begin                                          1          1          1
  Vars, width    64 io_logCtrl_log_end                                            1          1          1
  Vars, width    64 io_logCtrl_log_level                                          1          1          1
  Vars, width    64 line                                                          2          2          2
  Vars, width    64 mcause                                                        2          2          2          1
  Vars, width    64 medeleg                                                       2          2          2          1
  Vars, width    64 mepc                                                          2          2          2          1
  Vars, width    64 mideleg                                                       2          2          2          1
  Vars, width    64 mie                                                           2          2          2          1
  Vars, width    64 mip                                                           2          2          2          1
  Vars, width    64 mscratch                                                      2          2          2          1
  Vars, width    64 mstatus                                                       2          2          2          1
  Vars, width    64 mtval                                                         2          2          2          1
  Vars, width    64 mtvec                                                         2          2          2          1
  Vars, width    64 paddr                                                         2          2          2
  Vars, width    64 pc                                                            4          4          4          2
  Vars, width    64 pte                                                           2          2          2
  Vars, width    64 ptwAddr                                                       2          2          2
  Vars, width    64 ptwData_0                                                     2          2          2
  Vars, width    64 ptwData_1                                                     2          2          2
  Vars, width    64 ptwData_2                                                     2          2          2
  Vars, width    64 ptwData_3                                                     2          2          2
  Vars, width    64 rIdx                                                          2          2          2          2
  Vars, width    64 ram_read_helper__Vfuncrtn                                     1          1          1          2
  Vars, width    64 satp                                                          4          4          4          1
  Vars, width    64 sbufferAddr                                                   2          2          2
  Vars, width    64 sbufferMask                                                   2          2          2
  Vars, width    64 scause                                                        2          2          2          1
  Vars, width    64 sepc                                                          2          2          2          1
  Vars, width    64 sscratch                                                      2          2          2          1
  Vars, width    64 sstatus                                                       2          2          2          1
  Vars, width    64 storeAddr                                                     2          2          2
  Vars, width    64 storeData                                                     2          2          2
  Vars, width    64 stval                                                         2          2          2          1
  Vars, width    64 stvec                                                         2          2          2          1
  Vars, width    64 vpn                                                           2          2          2
  Vars, width    64 wIdx                                                          2          2          2          1
  Vars, width    64 wdata                                                         6          6          6          2
  Vars, width    64 wmask                                                         2          2          2          1
  Vars, width    65 SimTop.Ex_stage.Exe_stage_alu.add_res                         1          1          1
  Vars, width    65 SimTop.Ex_stage.Exe_stage_alu.adder_op2                       1          1          1
  Vars, width    96 __Vtemp10                                                                           1
  Vars, width    96 __Vtemp13                                                                           1
  Vars, width    96 __Vtemp14                                                                           1
  Vars, width    96 __Vtemp23                                                                           1          1
  Vars, width    96 __Vtemp27                                                                           1          1
  Vars, width    96 __Vtemp28                                                                           1          1
  Vars, width    96 __Vtemp31                                                                           1          1
  Vars, width    96 __Vtemp32                                                                           1          1
  Vars, width    96 __Vtemp34                                                                           1
  Vars, width    96 __Vtemp37                                                                           1
  Vars, width    96 __Vtemp43                                                                           1
  Vars, width    96 __Vtemp46                                                                           1
  Vars, width    96 __Vtemp47                                                                           1
  Vars, width    96 __Vtemp5                                                                            1
  Vars, width    96 __Vtemp50                                                                           1
  Vars, width    96 __Vtemp56                                                                           1
  Vars, width    96 __Vtemp59                                                                           1
  Vars, width    96 __Vtemp9                                                                            1
